,Name,Tweet Order,Text,Compound,Positive,Negative,Neutral,Time,Adj Time
95,@BBC,5,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
? https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",0.0,0.0,0.0,1.0,Tue Mar 27 11:05:06 +0000 2018,2018-03-27 11:05:06+00:00
96,@BBC,4,"? @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
?… https://t.co/pTLXfve0ds",0.25,0.125,0.0,0.875,Tue Mar 27 11:00:06 +0000 2018,2018-03-27 11:00:06+00:00
97,@BBC,3,"?? 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

? SPOILER: it's not.  https://t.co/f5oNRItwyq",0.0,0.0,0.0,1.0,Tue Mar 27 09:52:08 +0000 2018,2018-03-27 09:52:08+00:00
98,@BBC,2,"RT @BBCTwo: Now we've got our country back... what actually is it? ?

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",0.0,0.0,0.0,1.0,Tue Mar 27 09:40:22 +0000 2018,2018-03-27 09:40:22+00:00
99,@BBC,1,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,0.4019,0.124,0.0,0.876,Tue Mar 27 09:39:23 +0000 2018,2018-03-27 09:39:23+00:00
100,@CBSNews,100,Concern over Russian ships lurking around vital undersea cables https://t.co/NxDA4il9l1 https://t.co/lYc8wC5dzc,0.1779,0.173,0.118,0.709,Sat Mar 31 04:48:04 +0000 2018,2018-03-31 04:48:04+00:00
101,@CBSNews,99,Nortre Dame defeats UConn with buzzer shot with 1 second left in OT https://t.co/l132yyFAkC https://t.co/tWd7KstzNc,-0.3182,0.0,0.15,0.85,Sat Mar 31 04:42:05 +0000 2018,2018-03-31 04:42:05+00:00
102,@CBSNews,98,"After bodies found in mine, man arrested in teens' deaths https://t.co/hTIMmRReII https://t.co/Fb20Bl7dP5",-0.4767,0.0,0.22,0.78,Sat Mar 31 04:33:05 +0000 2018,2018-03-31 04:33:05+00:00
103,@CBSNews,97,Blizzard-like conditions expected in spring storm slamming northern Plains https://t.co/2SXXcykbJv,0.0,0.0,0.0,1.0,Sat Mar 31 04:24:05 +0000 2018,2018-03-31 04:24:05+00:00
104,@CBSNews,96,Noor Salman verdict: Pulse nightclub gunman's widow not guilty https://t.co/BvttDeNfS6 https://t.co/b6ZUsZ3kBp,0.4464,0.304,0.0,0.696,Sat Mar 31 04:18:04 +0000 2018,2018-03-31 04:18:04+00:00
